Result Log 
Problem Instance Path = ../problem2.txt 
Random Seed = 1506105407.5171149 
Parameters used = {'fitness evaluations': 1000, 'number of runs': 30, 'problem solution location': 'solutions/prob2_solution.txt'}

Run 1
2	3
3	4
5	15
12	19
39	22
88	23

Run 2
2	1
4	11
27	12
28	13
31	14
68	24

Run 3
2	1
3	3
6	4
7	9
13	12
15	13
40	17
63	18
155	21
624	26
779	27
973	31

Run 4
2	6
4	12
22	13
31	17
39	18
56	22
87	28

Run 5
2	6
12	8
31	11
34	17
60	26

Run 6
2	1
3	6
4	9
16	11
34	12
66	17
236	21
465	27

Run 7
2	5
4	7
5	9
8	13
9	19
87	20
89	24

Run 8
2	9
3	13
21	15
102	17
265	21
310	22

Run 9
2	3
3	5
4	6
12	12
23	24
843	26

Run 10
2	3
3	4
6	6
15	10
17	12
18	20
149	27

Run 11
2	3
3	8
5	13
92	16
153	19
423	22

Run 12
2	1
3	10
14	11
21	13
24	25
851	28

Run 13
2	5
6	8
16	10
23	11
31	12
68	16
72	30

Run 14
2	6
3	7
5	9
7	10
25	11
27	13
50	16
74	23

Run 15
2	3
3	12
28	18
45	19
629	22

Run 16
2	4
4	9
5	10
26	15
40	17
122	20
816	25

Run 17
2	10
3	12
22	13
29	14
48	15
70	22
72	24

Run 18
2	7
13	9
17	10
21	17
355	19
552	20
747	23

Run 19
2	4
3	10
8	11
10	15
77	21
251	30

Run 20
2	4
3	6
5	13
73	21

Run 21
2	15
47	16
56	18
186	24

Run 22
2	2
3	9
7	19
192	20
210	21

Run 23
2	11
5	15
11	16
39	17
51	18
385	19
460	21

Run 24
2	1
3	12
30	19
228	23

Run 25
2	5
3	7
9	9
22	14
45	16
137	20
203	24

Run 26
2	5
3	6
5	7
10	19
95	20
195	23
742	26
884	31

Run 27
2	1
3	3
4	4
5	5
6	6
11	8
12	11
19	15
132	18
245	19
254	22
502	30

Run 28
2	6
4	10
6	12
20	13
43	21
277	23
298	28

Run 29
2	2
3	7
4	14
13	18
107	29

Run 30
2	1
3	5
4	8
9	10
27	11
31	12
56	14
99	28

